numero,nombre,tipo1,tipo2,hp,ataque,defensa,sp_ataque,sp_defensa,velocidad,generacion,legendario
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False
4,Charmander,Fire,,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,,58,64,58,80,65,80,1,False
6,Charizard,Fire,Flying,78,84,78,109,85,100,1,False
7,Squirtle,Water,,44,48,65,50,64,43,1,False
8,Wartortle,Water,,59,63,80,65,80,58,1,False
9,Blastoise,Water,,79,83,100,85,105,78,1,False
10,Caterpie,Bug,,45,30,35,20,20,45,1,False
11,Metapod,Bug,,50,20,55,25,25,30,1,False
12,Butterfree,Bug,Flying,60,45,50,90,80,70,1,False
13,Weedle,Bug,Poison,40,35,30,20,20,50,1,False
14,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False
15,Beedrill,Bug,Poison,65,90,40,45,80,75,1,False
16,Pidgey,Normal,Flying,40,45,40,35,35,56,1,False
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False
19,Rattata,Normal,,30,56,35,25,35,72,1,False
20,Raticate,Normal,,55,81,60,50,70,97,1,False
25,Pikachu,Electric,,35,55,40,50,50,90,1,False
26,Raichu,Electric,,60,90,55,90,80,110,1,False
35,Clefairy,Normal,,70,45,48,60,65,35,1,False
36,Clefable,Normal,,95,70,73,95,90,60,1,False
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False
52,Meowth,Normal,,40,45,35,40,40,90,1,False
54,Psyduck,Water,,50,52,48,65,50,55,1,False
63,Abra,Psychic,,25,20,15,105,55,90,1,False
66,Machop,Fighting,,70,80,50,35,35,35,1,False
74,Geodude,Rock,Ground,40,80,100,30,30,20,1,False
94,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False
113,Chansey,Normal,,250,5,5,35,105,50,1,False
130,Gyarados,Water,Flying,95,125,79,60,100,81,1,False
131,Lapras,Water,Ice,130,85,80,85,95,60,1,False
132,Ditto,Normal,,48,48,48,48,48,48,1,False
133,Eevee,Normal,,55,55,50,45,65,55,1,False
143,Snorlax,Normal,,160,110,65,65,110,30,1,False
144,Articuno,Ice,Flying,90,85,100,95,125,85,1,True
145,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True
146,Moltres,Fire,Flying,90,100,90,125,85,90,1,True
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False
150,Mewtwo,Psychic,,106,110,90,154,90,130,1,True
151,Mew,Psychic,,100,100,100,100,100,100,1,True
152,Chikorita,Grass,,45,49,65,49,65,45,2,False
155,Cyndaquil,Fire,,39,52,43,60,50,65,2,False
158,Totodile,Water,,50,65,64,44,48,43,2,False
175,Togepi,Normal,Fairy,35,20,65,40,65,20,2,False
196,Espeon,Psychic,,65,65,60,130,95,110,2,False
197,Umbreon,Dark,,95,65,110,60,130,65,2,False
245,Suicune,Water,,100,75,115,90,115,85,2,True
249,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True
250,Ho-Oh,Fire,Flying,106,130,90,110,154,90,2,True
251,Celebi,Psychic,Grass,100,100,100,100,100,100,2,True
252,Treecko,Grass,,40,45,35,65,55,70,3,False
255,Torchic,Fire,,45,60,40,70,50,45,3,False
258,Mudkip,Water,,50,70,50,50,50,40,3,False
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,3,False
330,Flygon,Dragon,Ground,80,100,80,80,80,100,3,False
350,Milotic,Water,,95,60,79,100,125,81,3,False
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,3,True
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,3,True
387,Turtwig,Grass,,55,68,64,45,55,31,4,False
390,Chimchar,Fire,,44,58,44,58,44,61,4,False
393,Piplup,Water,,53,51,53,61,56,40,4,False
448,Lucario,Fighting,Steel,70,110,70,115,70,90,4,False
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,4,False
470,Leafeon,Grass,,65,110,130,60,65,95,4,False
471,Glaceon,Ice,,65,60,110,130,95,65,4,False
483,Dialga,Steel,Dragon,100,120,120,150,100,90,4,True
484,Palkia,Water,Dragon,90,120,100,150,120,100,4,True
487,Giratina,Ghost,Dragon,150,100,120,100,120,90,4,True
490,Manaphy,Water,,100,100,100,100,100,100,4,True
495,Snivy,Grass,,45,45,55,45,55,63,5,False
498,Tepig,Fire,,65,63,45,45,45,45,5,False
501,Oshawott,Water,,55,55,45,63,45,45,5,False
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,5,False
596,Galvantula,Bug,Electric,70,77,60,97,60,108,5,False
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,5,True
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,5,True
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,5,True
649,Genesect,Bug,Steel,71,120,95,120,95,99,5,True
