ciudad,temperatura,unidad
Bogota,17.8,C
Singapur,87.2,F
Caracas,25.9,F
Paris,-5.6,F
Dubai,-12.9,C
Phoenix,17.7,C
Helsinki,17,F
Puebla,39.7,F
Londres,29.9,C
Nairobi,120.1,F
Atenas,100.6,F
Roma,-18.8,F
Boston,-21.1,C
Chicago,37.4,F
Varsovia,50.6,F
Honolulu,11.4,C
Bangkok,86.5,F
Houston,-28.3,C
Cancun,83.6,F
Seattle,5,C
Sydney,111,F
Moscu,-20,C
Tijuana,58.7,F
Lagos,115.5,F
Mumbai,35.2,C
Estocolmo,-16,C
Cairo,-25.4,C
Monterrey,27.8,C
Denver,5.1,C
Ankara,-3.7,C
Guadalajara,98.1,F
Madrid,47.5,C
Buenos Aires,80.6,F
Nueva York,70.6,F
Santiago,18.6,C
Los Angeles,68,F
Oslo,39.6,C
Reykjavik,47.1,C
Toronto,56.2,F
Auckland,23.9,C
Lima,1.6,F
Tokio,-16.1,C
Pekín,-17.3,C
CDMX,41.4,C
Lisboa,11.2,C
Melbourne,12.3,C
Las Vegas,44.2,C
Budapest,22,C
Berlin,15.3,C
Miami,76.5,F
Lima_50,-6.1,C
Guadalajara_51,117.5,F
Boston_52,-15.1,C
Las Vegas_53,38.1,F
Madrid_54,-3.9,F
Lima_55,17.1,F
Helsinki_56,102.1,F
Denver_57,113.5,F
Atenas_58,4,C
Nueva York_59,8.7,C
Dubai_60,98.2,F
Lima_61,71.3,F
Bangkok_62,51.5,F
Guadalajara_63,40.9,C
Berlin_64,-14,F
Los Angeles_65,37.1,F
CDMX_66,3.2,F
Melbourne_67,49.5,F
Mumbai_68,-24.3,C
CDMX_69,92.7,F
Helsinki_70,96.9,F
Lima_71,-6.3,C
Tokio_72,58.9,F
Buenos Aires_73,99.2,F
Budapest_74,35,C
Puebla_75,-24.8,C
Roma_76,31.4,F
Cancun_77,33.3,C
Bangkok_78,-1.1,C
Nueva York_79,81.4,F
Phoenix_80,90.7,F
Cancun_81,0.1,C
Atenas_82,86.4,F
CDMX_83,65.7,F
Helsinki_84,116.4,F
Nairobi_85,9.8,F
Lagos_86,-19.2,F
Oslo_87,-7.1,F
Madrid_88,26.2,C
Lagos_89,84.7,F
Nairobi_90,51.3,F
Chicago_91,15.1,F
Houston_92,-16.7,C
Moscu_93,40.5,C
Cancun_94,36.3,C
Melbourne_95,33,C
Oslo_96,54.9,F
Sydney_97,4.7,F
Bogota_98,23.4,F
Varsovia_99,18.5,C
Dubai_100,32.7,F
Bogota_101,41.7,C
Seattle_102,84.6,F
Boston_103,20.6,F
Miami_104,70.5,F
Helsinki_105,19.8,C
Moscu_106,-17.7,F
Phoenix_107,-16.9,C
Boston_108,21.9,F
Monterrey_109,9.3,C
Nairobi_110,9.9,F
Honolulu_111,35.6,F
Bangkok_112,48.8,C
Melbourne_113,28.6,F
Paris_114,-8,C
Cancun_115,12.6,F
Auckland_116,38.3,C
Oslo_117,19.4,C
Phoenix_118,46.5,C
Mumbai_119,19.2,C
Berlin_120,96.4,F
Madrid_121,63.8,F
Bangkok_122,37.9,F
Londres_123,67.4,F
Reykjavik_124,42.4,C
Nairobi_125,44.7,C
Guadalajara_126,15.2,F
Mumbai_127,48.7,C
Chicago_128,-26.8,C
Los Angeles_129,20.7,F
Honolulu_130,-25.5,C
Puebla_131,12.7,F
Moscu_132,-23.9,C
Lisboa_133,-14.8,C
Las Vegas_134,40.2,C
Lagos_135,-8.8,C
Sydney_136,92.1,F
Atenas_137,65.5,F
Ankara_138,28,F
Reykjavik_139,-7.9,C
Budapest_140,42.5,F
Chicago_141,32.1,C
Houston_142,-9,F
Bangkok_143,-11.6,C
Tijuana_144,-7,F
Lima_145,-8.7,C
Buenos Aires_146,-4.9,C
Bogota_147,59,F
Cairo_148,3.2,C
Mumbai_149,37.2,C
Tokio_150,-3.8,C
Miami_151,35.2,C
Atenas_152,35.2,F
Bangkok_153,54.1,F
Madrid_154,25.9,F
Chicago_155,-21.5,C
Lisboa_156,-26.4,C
Lisboa_157,36.6,F
Mumbai_158,108.6,F
Helsinki_159,44.4,C
Nueva York_160,-8.3,C
Melbourne_161,5.4,F
Ankara_162,-18.8,C
Lima_163,68.7,F
Budapest_164,8.9,C
Nueva York_165,120.4,F
Lisboa_166,9,C
Tokio_167,44.8,F
Lisboa_168,51.5,F
Madrid_169,-7,C
Ankara_170,-17.9,F
Caracas_171,42.5,C
Roma_172,44.6,F
Atenas_173,8,C
Toronto_174,33.5,C
Helsinki_175,15.6,F
Varsovia_176,38.7,C
Melbourne_177,-17.1,F
Budapest_178,38.4,C
Mumbai_179,3.5,C
Bogota_180,93.5,F
Moscu_181,74.9,F
Roma_182,-7.6,C
Santiago_183,48.5,C
Roma_184,-23.2,C
Nueva York_185,61.8,F
Las Vegas_186,-1.9,C
Nueva York_187,31.4,F
Madrid_188,115.6,F
Bogota_189,-10.2,C
Los Angeles_190,12.3,C
Reykjavik_191,42.9,C
Madrid_192,-5,F
Honolulu_193,11.7,C
Atenas_194,42.9,C
Tokio_195,-16.1,F
Nueva York_196,48.3,F
Dubai_197,49.8,C
Caracas_198,121.3,F
Bangkok_199,63.2,F
Reykjavik_200,3.5,C
Helsinki_201,60.6,F
Singapur_202,37,C
Roma_203,27.3,C
Phoenix_204,1.4,C
Helsinki_205,-20.9,C
Puebla_206,-4.3,C
Houston_207,103.2,F
